customer_id,name,email,signup_date,source,region,plan_selected,marketing_opt_in,age,gender
CUST00182,Katie Baker,katie82@example.com,2024-01-07,Google,North,PRO,Yes,34.0,FEMALE
CUST00183,Joshua Jensen,joshua83@inboxmail.net,2024-02-07,Referral,Central,basic,No,34.0,Male
CUST00184,Richard Jones,richard84@mailhub.org,2024-03-07,Referral,Unknown,PREMIUM,No,25.0,Male
CUST00185,Rhonda Herrera,rhonda85@mailhub.org,2024-04-07,Facebook,East,Premium,Yes,29.0,Male
CUST00186,Christian Brown,christian86@inboxmail.net,2024-05-07,LinkedIn,North,Premium,Yes,25.0,male
CUST00187,Dylan Holt,dylan87@example.com,2024-06-07,YouTube,South,PRO,Yes,25.0,male
CUST00188,Tony Wilson,tony88@example.com,2024-07-07,Instagram,North,basic,No,40.0,Female
CUST00189,Hannah Anderson,,2024-08-07,LinkedIn,Unknown,Premium,No,25.0,Male
CUST00190,Matthew Walker,matthew90@mailhub.org,2024-09-07,LinkedIn,North,PREMIUM,Yes,40.0,FEMALE
CUST00191,Jenna Miller,jenna91@example.com,2024-10-07,Referral,East,Pro,Yes,21.0,Non-Binary
CUST00192,Jacob Mclean,jacob92@inboxmail.net,2024-11-07,LinkedIn,South,Basic,Yes,25.0,FEMALE
CUST00193,Patricia Campbell,patricia93@inboxmail.net,2024-12-07,YouTube,East,Basic,Yes,29.0,Non-Binary
CUST00213,Spencer Williams,spencer13@inboxmail.net,2024-01-08,LinkedIn,West,PRO,No,34.0,Male
CUST00214,Paul Friedman,paul14@inboxmail.net,2024-02-08,Google,South,basic,No,53.0,Unspecified
CUST00215,Amanda Whitaker,amanda15@mailhub.org,2024-03-08,,South,PRO,No,40.0,Male
CUST00216,David Morales,,2024-04-08,Google,South,Pro,No,21.0,Male
CUST00218,Jared Smith,jared18@example.com,2024-06-08,Google,West,PRO,Yes,29.0,Non-Binary
CUST00219,Tracey Kelly,tracey19@inboxmail.net,2024-07-08,Instagram,South,PREMIUM,No,40.0,FEMALE
CUST00220,Lisa Perry,lisa20@inboxmail.net,2024-08-08,YouTube,East,Basic,Yes,40.0,male
CUST00221,Matthew Moss,matthew21@example.com,2024-09-08,YouTube,East,basic,No,25.0,Male
CUST00222,Alexander Bradley,alexander22@example.com,2024-10-08,Facebook,West,PREMIUM,No,34.0,male
CUST00223,Jeffrey Cunningham,jeffrey23@example.com,2024-11-08,,Unknown,Basic,Yes,25.0,Non-Binary
CUST00224,Garrett Mcmahon,garrett24@example.com,2024-12-08,Referral,West,Unknown,No,21.0,FEMALE
CUST00244,Tracy Wallace,tracy44@inboxmail.net,2024-01-09,Google,South,basic,Yes,21.0,Non-Binary
CUST00245,Amanda Leonard,amanda45@example.com,2024-02-09,Referral,East,basic,Yes,,Non-Binary
CUST00246,Steven Davidson,steven46@inboxmail.net,2024-03-09,YouTube,South,basic,Yes,21.0,Non-Binary
CUST00247,Nicholas Pearson,nicholas47@mailhub.org,2024-04-09,Referral,North,PREMIUM,Yes,47.0,FEMALE
CUST00248,Ricky Maldonado,ricky48@example.com,2024-05-09,YouTube,Unknown,Unknown,No,47.0,Female
CUST00249,Jamie Calhoun,jamie49@example.com,2024-06-09,Google,North,Premium,No,25.0,Non-Binary
CUST00250,Daniel Shepherd,daniel50@mailhub.org,2024-07-09,Facebook,Unknown,PRO,No,40.0,Non-Binary
CUST00251,Andre Pratt,andre51@mailhub.org,2024-08-09,YouTube,East,Basic,No,21.0,Female
CUST00252,Taylor Gray,,2024-09-09,LinkedIn,North,Pro,Nil,25.0,Male
CUST00253,Richard Morris,richard53@mailhub.org,2024-10-09,LinkedIn,East,Premium,Yes,47.0,Non-Binary
CUST00254,Mark Durham,mark54@mailhub.org,2024-11-09,Instagram,Central,Basic,No,53.0,FEMALE
CUST00255,Cheryl Scott,cheryl55@mailhub.org,2024-12-09,YouTube,West,Premium,No,40.0,Other
CUST00274,Stanley Rodriguez,stanley74@inboxmail.net,2024-01-10,Facebook,Unknown,PRO,No,29.0,Female
CUST00275,Emma Campbell,emma75@mailhub.org,2024-02-10,Facebook,Unknown,PREMIUM,No,34.0,Other
CUST00276,Jason Williams,jason76@inboxmail.net,2024-03-10,Facebook,Unknown,Pro,Yes,29.0,Non-Binary
CUST00277,Laura Huber,laura77@inboxmail.net,2024-04-10,Referral,East,Basic,No,34.0,FEMALE
CUST00278,Jennifer Patel,jennifer78@inboxmail.net,2024-05-10,Referral,Central,Premium,Yes,40.0,Male
CUST00279,Don Doyle,,2024-06-10,YouTube,Central,Pro,Yes,40.0,Other
CUST00280,Maria Henry,maria80@example.com,2024-07-10,Instagram,South,Pro,Yes,34.0,male
CUST00281,Andrew Parks,andrew81@inboxmail.net,2024-08-10,YouTube,Central,Basic,Yes,47.0,male
CUST00282,Taylor Dawson,taylor82@example.com,2024-09-10,LinkedIn,North,basic,No,25.0,Male
CUST00283,Tiffany Ellison,tiffany83@mailhub.org,2024-10-10,Google,East,PRO,No,25.0,FEMALE
CUST00284,Chad Nguyen,chad84@inboxmail.net,2024-11-10,,South,PREMIUM,Yes,53.0,Other
CUST00285,Daniel Tate,daniel85@mailhub.org,2024-12-10,Instagram,North,basic,Yes,29.0,Female
